"Date","CF","NAV","CON","DIS","type","Vintage","Fund.ID"
2003-12-31,-0.33500000173152,0.33093526662989,-0.367904,0.03290399826848,"INF",2003,"2003_INF"
2004-03-31,-0.18400000057824,0.50021100019469,-0.184,-5.78239996684715e-10,"INF",2003,"2003_INF"
2004-06-30,0.0200000034848399,0.48347613354846,0.018732,0.00126800348484,"INF",2003,"2003_INF"
2004-09-30,0.0380000663302801,0.46504273309586,-9e-04,0.03890006633028,"INF",2003,"2003_INF"
2004-12-31,-0.0100000675469601,0.69098839980666,-0.017308,0.00730793245304,"INF",2003,"2003_INF"
2005-06-30,0.1546679997976,0.63835846677106,0.089724,0.0649439997976,"INF",2003,"2003_INF"
2005-09-30,-0.1980000018848,0.86820699970612,-0.198,-1.88480000942945e-09,"INF",2003,"2003_INF"
2005-12-31,0.02000000471904,0.87040246680532,0,0.02000000471904,"INF",2003,"2003_INF"
2006-03-31,0.01999999812248,0.86944900002292,0,0.01999999812248,"INF",2003,"2003_INF"
2006-06-30,-0.07399999732328,0.96521606664631,-0.11,0.03600000267672,"INF",2003,"2003_INF"
2006-09-30,0.0723999953156,0.92009720034438,-0.0176,0.0899999953156,"INF",2003,"2003_INF"
2006-12-31,0.0360000045057599,1.02013520032414,0,0.03600000450576,"INF",2003,"2003_INF"
2007-03-31,0.01999999463064,1.01057766686027,0,0.01999999463064,"INF",2003,"2003_INF"
2007-06-30,0.79379120215856,0.095955,-0.212744,1.00653520215856,"INF",2003,"2003_INF"
2007-09-30,0,0.077971933,0,0,"INF",2003,"2003_INF"
2007-12-31,0,0.256119867,0,0,"INF",2003,"2003_INF"
2008-03-31,0,0.255187467,0,0,"INF",2003,"2003_INF"
2008-06-30,0.032,0.255865467,0,0.032,"INF",2003,"2003_INF"
2008-09-30,0.0195552,0.246885933,0,0.0195552,"INF",2003,"2003_INF"
2008-12-31,0,0.455639,0,0,"INF",2003,"2003_INF"
2009-03-31,0,0.480477667,0,0,"INF",2003,"2003_INF"
2009-06-30,0,0.4865888,0,0,"INF",2003,"2003_INF"
2009-09-30,0,0.454831267,0,0,"INF",2003,"2003_INF"
2009-12-31,0,0.5635082,0,0,"INF",2003,"2003_INF"
2010-03-31,0,0.554267933,0,0,"INF",2003,"2003_INF"
2010-06-30,0.24849853,0.244653267,0,0.24849853,"INF",2003,"2003_INF"
2010-09-30,0,0.242628733,0,0,"INF",2003,"2003_INF"
2010-12-31,0.0002848,0.206753,0,0.0002848,"INF",2003,"2003_INF"
2011-03-31,0.10803727,0.098665267,0,0.10803727,"INF",2003,"2003_INF"
2011-06-30,0,0.0975708,0,0,"INF",2003,"2003_INF"
2011-09-30,0,0.096013067,0,0,"INF",2003,"2003_INF"
